feature,shap_importance
Aspect_Ration,0.8949311118789609
Eccentricity,0.866169171294886
Compactness,0.5466330955538138
Solidity,0.4446064376905926
Major_Axis_Length,0.3793199015261085
Roundness,0.34693136452382617
Minor_Axis_Length,0.2752570005181834
Extent,0.21633429211836652
Area,0.13196880947879452
Perimeter,0.12632988157231426
Convex_Area,0.1066033401403264
Equiv_Diameter,0.10161539862199621
