feature,shap_importance
Compactness,0.60516834
Eccentricity,0.3751807
Major_Axis_Length,0.23756179
Minor_Axis_Length,0.21808231
Perimeter,0.13000657
Roundness,0.12246012
Aspect_Ration,0.11197336
Area,0.08649342
Solidity,0.0797271
Extent,0.069707625
Equiv_Diameter,0.060541745
Convex_Area,0.055615067
