feature,mean_importance
Convex_Area,-0.005254556321627491
Extent,-0.0048026556490467385
Area,-0.0017103605944704947
Perimeter,0.00021942795541356474
Equiv_Diameter,0.0021923130410518633
Minor_Axis_Length,0.0041382661149174434
Roundness,0.005597448626848178
Aspect_Ration,0.011123290923482554
Eccentricity,0.018957549113255267
Major_Axis_Length,0.02074290226188691
Solidity,0.03418726855886044
Compactness,0.06103303113045079
