feature,shap_importance
Compactness,0.88664436
Eccentricity,0.5561584
Major_Axis_Length,0.3391878
Minor_Axis_Length,0.3144629
Solidity,0.29850683
Aspect_Ration,0.29290593
Roundness,0.23275332
Area,0.1682571
Extent,0.15996327
Perimeter,0.1265887
Convex_Area,0.10807197
Equiv_Diameter,0.10254934
